11.2875 	EXP 	Device response: <KeyPress from None: t=11.084849333390594, value=right, duration=0.2004738332470879>
11.5873 	INFO 	Keyboard events cleared
11.5873 	EXP 	grating: autoDraw = True
11.6041 	EXP 	Fixation: autoDraw = False
11.8874 	EXP 	grating: autoDraw = False
12.1043 	EXP 	Device response: <KeyPress from None: t=12.09983179171104, value=right, duration=None>
12.1053 	DATA 	Keypress: right
12.1206 	EXP 	Fixation: autoDraw = False
12.1206 	EXP 	grating: autoDraw = False
12.1206 	EXP 	grating: ori = np.float64(-2.0)
12.1206 	EXP 	Fixation: autoDraw = True
12.3208 	EXP 	Device response: <KeyPress from None: t=12.09983179171104, value=right, duration=0.20830454165115952>
12.6040 	INFO 	Keyboard events cleared
12.6040 	EXP 	grating: autoDraw = True
12.6206 	EXP 	Fixation: autoDraw = False
12.9039 	EXP 	grating: autoDraw = False
13.0766 	DATA 	Keypress: left
13.0875 	EXP 	Device response: <KeyPress from None: t=13.072811875026673, value=left, duration=None>
13.1040 	EXP 	Fixation: autoDraw = False
13.1040 	EXP 	grating: autoDraw = False
13.1040 	EXP 	grating: ori = np.float64(-1.0)
13.1040 	EXP 	Fixation: autoDraw = True
13.2364 	EXP 	Device response: <KeyPress from None: t=13.072811875026673, value=left, duration=0.15265608334448189>
13.5872 	INFO 	Keyboard events cleared
13.5872 	EXP 	grating: autoDraw = True
13.6038 	EXP 	Fixation: autoDraw = False
13.8872 	EXP 	grating: autoDraw = False
14.2410 	DATA 	Keypress: left
14.2535 	EXP 	Device response: <KeyPress from None: t=14.237750208354555, value=left, duration=None>
14.2706 	EXP 	Fixation: autoDraw = False
14.2706 	EXP 	grating: autoDraw = False
14.2706 	EXP 	grating: ori = np.float64(-1.0)
14.2706 	EXP 	Fixation: autoDraw = True
14.4207 	EXP 	Device response: <KeyPress from None: t=14.237750208354555, value=left, duration=0.17634287499822676>
14.7540 	INFO 	Keyboard events cleared
14.7539 	EXP 	grating: autoDraw = True
14.7708 	EXP 	Fixation: autoDraw = False
15.0541 	EXP 	grating: autoDraw = False
15.1633 	DATA 	Keypress: right
15.1708 	EXP 	Device response: <KeyPress from None: t=15.159767583361827, value=right, duration=None>
15.1873 	EXP 	Fixation: autoDraw = False
15.1873 	EXP 	grating: autoDraw = False
15.1873 	EXP 	grating: ori = np.float64(2.0)
15.1873 	EXP 	Fixation: autoDraw = True
15.3203 	EXP 	Device response: <KeyPress from None: t=15.159767583361827, value=right, duration=0.1443038749275729>
15.6707 	INFO 	Keyboard events cleared
15.6707 	EXP 	grating: autoDraw = True
15.6873 	EXP 	Fixation: autoDraw = False
15.9707 	EXP 	grating: autoDraw = False
16.0644 	DATA 	Keypress: left
16.0707 	EXP 	Device response: <KeyPress from None: t=16.060722999973223, value=left, duration=None>
16.0873 	EXP 	Fixation: autoDraw = False
16.0873 	EXP 	grating: autoDraw = False
16.0873 	EXP 	grating: ori = np.float64(3.0)
16.0873 	EXP 	Fixation: autoDraw = True
16.2375 	EXP 	Device response: <KeyPress from None: t=16.060722999973223, value=left, duration=0.1683246666798368>
16.5706 	INFO 	Keyboard events cleared
16.5705 	EXP 	grating: autoDraw = True
16.5873 	EXP 	Fixation: autoDraw = False
16.8707 	EXP 	grating: autoDraw = False
17.2654 	DATA 	Keypress: right
17.2702 	EXP 	Device response: <KeyPress from None: t=17.262716124998406, value=right, duration=None>
17.2864 	EXP 	Fixation: autoDraw = False
17.2864 	EXP 	grating: autoDraw = False
17.2864 	EXP 	grating: ori = np.float64(3.0)
17.2864 	EXP 	Fixation: autoDraw = True
17.4534 	EXP 	Device response: <KeyPress from None: t=17.262716124998406, value=right, duration=0.18430712504778057>
17.7706 	INFO 	Keyboard events cleared
17.7706 	EXP 	grating: autoDraw = True
17.7872 	EXP 	Fixation: autoDraw = False
18.0705 	EXP 	grating: autoDraw = False
18.3375 	EXP 	Device response: <KeyPress from None: t=18.332696916651912, value=right, duration=None>
18.3383 	DATA 	Keypress: right
18.3541 	EXP 	Fixation: autoDraw = False
18.3541 	EXP 	grating: autoDraw = False
18.3541 	EXP 	grating: ori = np.float64(-3.0)
18.3541 	EXP 	Fixation: autoDraw = True
18.5540 	EXP 	Device response: <KeyPress from None: t=18.332696916651912, value=right, duration=0.22039916669018567>
18.8371 	INFO 	Keyboard events cleared
18.8371 	EXP 	grating: autoDraw = True
18.8537 	EXP 	Fixation: autoDraw = False
19.1373 	EXP 	grating: autoDraw = False
19.2865 	EXP 	Device response: <KeyPress from None: t=19.281667249975726, value=right, duration=None>
19.2869 	DATA 	Keypress: right
19.3039 	EXP 	Fixation: autoDraw = False
19.3039 	EXP 	grating: autoDraw = False
19.3039 	EXP 	grating: ori = np.float64(4.0)
19.3039 	EXP 	Fixation: autoDraw = True
