trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
74,0.5,4.0,88.07030287501402,,,,,,,,,,88.05393058329355,88.07030287501402,88.57046791666653,88.55356883339118,88.55356883339118,88.85372566664591,89.00398354162462,left,-4.0,1,1,0.436525541706942,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
75,0.5,4.0,89.02052358328365,,,,,,,,,,89.00400362501387,89.02052358328365,89.52046279166825,89.50386449997313,89.50386449997313,89.8038094167132,89.987279208377,left,-4.0,1,1,0.48139991669449955,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
76,0.5,4.0,90.00318445835728,,,,,,,,,,89.98730445827823,90.00318445835728,90.50373191665858,90.48711374995764,90.48711374995764,90.787053750013,90.88713716669008,left,-4.0,1,1,0.3929337083827704,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
77,0.5,3.5,90.90376308339182,,,,,,,,,,90.88715966662858,90.90376308339182,91.40371720830444,91.38708274997771,91.38708274997771,91.68703829171136,91.77050604170654,right,3.5,0,0,0.382107250043191,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
78,0.5,4.0,91.7863096666988,,,,,,,,,,91.77052754163742,91.7863096666988,92.28649624995887,92.27049899997655,92.27049899997655,92.57045949995518,93.00307045830414,left,-4.0,1,1,0.7275140417041257,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
79,0.5,4.0,93.02048370835837,,,,,,,,,,93.0031184166437,93.02048370835837,93.52042629162315,93.50365729164332,93.50365729164332,93.80373287503608,94.18718445836566,right,4.0,1,1,0.6703332083998248,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
80,0.5,4.0,94.20377783337608,,,,,,,,,,94.1872151249554,94.20377783337608,94.70369379164185,94.6870704999892,94.6870704999892,94.98707749997266,95.28616791672539,right,4.0,1,1,0.5958696249872446,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
81,0.5,3.5,95.30278758332133,,,,,,,,,,95.28619641670957,95.30278758332133,95.80378795834258,95.78715854161419,95.78715854161419,96.08724729169626,96.38717387500219,left,-3.5,1,1,0.5951655000681058,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
82,0.5,3.5,96.40381533338223,,,,,,,,,,96.3872054166859,96.40381533338223,96.9037354583852,96.88709691667464,96.88709691667464,97.18706195836421,97.42014770838432,right,3.5,1,1,0.5198227083310485,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
83,0.5,3.5,97.43712416663766,,,,,,,,,,97.42017633328214,97.43712416663766,97.93707474996336,97.920481499983,97.920481499983,98.22034887503833,98.35385937499814,left,-3.5,1,1,0.4293928333790973,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
84,0.5,3.0,98.37033279170282,,,,,,,,,,98.35388408333529,98.37033279170282,98.86977670830674,98.85367558337748,98.85367558337748,99.15321070828941,99.3205890833633,right,3.0,1,1,0.45718387502711266,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
85,0.5,3.0,99.33715458330698,,,,,,,,,,99.32061233336572,99.33715458330698,99.83712191670202,99.82037333329208,99.82037333329208,100.12043966667261,100.28725362499245,right,3.0,0,0,0.46047316666226834,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
86,0.5,3.5,100.30369037494529,,,,,,,,,,100.28727612504736,100.30369037494529,100.80322791670915,100.78697029163595,100.78697029163595,101.08668745832983,101.08685916662216,left,-3.5,0,0,0.29387591674458236,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
87,0.5,4.0,101.10375174996443,,,,,,,,,,101.0868797916919,101.10375174996443,101.60369458328933,101.58705733332317,101.58705733332317,101.88696849998087,102.23599933332298,left,-4.0,1,1,0.6467511666705832,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
88,0.5,4.0,102.25303812499624,,,,,,,,,,102.23604341666214,102.25303812499624,102.75378274999093,102.7371415833477,102.7371415833477,103.03712045832071,103.17067050002515,left,-4.0,1,1,0.41763429169077426,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
89,0.5,4.0,103.1870521249948,,,,,,,,,,103.1707068750402,103.1870521249948,103.68716637499165,103.66973512503318,103.66973512503318,103.97047583328094,104.15387845830992,left,-4.0,1,1,0.46800954174250364,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
90,0.5,3.5,104.17033212503884,,,,,,,,,,104.15390733338427,104.17033212503884,104.67042700003367,104.65362879168242,104.65362879168242,104.95372204168234,105.07046520838048,left,-3.5,1,1,0.4021148333558813,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
91,0.5,3.5,105.08708479162306,,,,,,,,,,105.0704920416465,105.08708479162306,105.58703145838808,105.57041920837946,105.57041920837946,105.87037224997766,105.92037874995731,left,-3.5,1,1,0.3372844166588038,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
92,0.5,3.5,105.9366063750349,,,,,,,,,,105.92040054162499,105.9366063750349,106.43717754166573,106.42036433331668,106.42036433331668,106.72049645835068,106.75390524999239,left,-3.5,1,1,0.3253364583943039,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
93,0.5,3.0,106.77030508336611,,,,,,,,,,106.75393170828465,106.77030508336611,107.27030850003939,107.25367537501734,107.25367537501734,107.55352870828938,107.53674479166511,left,-3.0,1,1,0.26900249999016523,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
94,0.5,3.0,107.55352870828938,,,,,,,,,,107.53676575003192,107.55352870828938,108.05375637498219,108.03695058333687,108.03695058333687,108.33705624996219,108.60385691665579,right,3.0,0,0,0.564897625008598,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
95,0.5,3.5,108.61972370836884,,,,,,,,,,108.60388179169968,108.61972370836884,109.1203501666896,109.1036494167056,109.1036494167056,109.40357829164714,109.78723262494896,left,-3.5,1,1,0.6699816666077822,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
96,0.5,3.5,109.80369520839304,,,,,,,,,,109.78725387505256,109.80369520839304,110.3037788750371,110.28697616665158,110.28697616665158,110.58711041661445,110.90380008332431,right,3.5,1,1,0.6166147083276883,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
97,0.5,3.5,110.91964291664772,,,,,,,,,,110.90381941664964,110.91964291664772,111.41974612500053,111.40360704169143,111.40360704169143,111.70374291669577,111.93650891666766,left,-3.5,1,1,0.5269610832910985,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
98,0.5,3.0,111.95266433327924,,,,,,,,,,111.93653499998618,111.95266433327924,112.45244808332063,112.43638845835812,112.43638845835812,112.73584937502164,112.9706040417077,left,-3.0,1,1,0.5181694999337196,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
99,0.5,3.0,112.98694587498903,,,,,,,,,,112.97064483328722,112.98694587498903,113.48716945829801,113.4704327499494,113.4704327499494,113.77035408338998,114.13718320836779,left,-3.0,1,1,0.6581030417000875,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,114.13720862497576,114.15370291669387,117.15335200005211,117.13710741663817,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
