trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
9,1,3,17.28640929167159,,,,,,,,,,17.27026354172267,17.28640929167159,17.78723645838909,17.770595041685738,17.770595041685738,18.070531916688196,18.337539625004865,right,3,1,1,0.5620905417017639,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
10,1,3,18.354076708317734,,,,,,,,,,18.337561708292924,18.354076708317734,18.853731708368286,18.837061624974012,18.837061624974012,19.13731587503571,19.28650929161813,left,-3,0,0,0.44458991661667824,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
11,1,4,19.303899875027128,,,,,,,,,,19.286551958299242,19.303899875027128,19.80383191665169,19.787243291619234,19.787243291619234,20.08733245835174,20.403986166696995,right,4,1,1,0.6164222500519827,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
12,1,4,20.419865833362564,,,,,,,,,,20.404015874955803,20.419865833362564,20.92067899997346,20.92067899997346,20.92067899997346,21.21947679168079,21.486441749962978,left,-4,1,1,0.5559084166307002,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
13,1,4,21.503638499998488,,,,,,,,,,21.48650808329694,21.503638499998488,22.00406245829072,21.98726270836778,21.98726270836778,22.303998083341867,22.519861541688442,right,4,1,1,0.526327749947086,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
14,1,3,22.537246291642077,,,,,,,,,,22.519897416699678,22.537246291642077,23.03720195835922,23.020589083316736,23.020589083316736,23.32069033337757,23.720719458302483,right,3,1,1,0.6959829999832436,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
15,1,3,23.7373399999924,,,,,,,,,,23.720746708335355,23.7373399999924,24.23724458331708,24.220470499945804,24.220470499945804,24.520557416719384,24.52073608338833,left,-3,1,1,0.2890833333367482,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
16,0.5,3,24.537199833313935,,,,,,,,,,24.52075899997726,24.537199833313935,25.037169416667894,25.020550125045702,25.020550125045702,25.32068445836194,25.43757054163143,left,-3,0,0,0.40324887493625283,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
17,0.5,3.5,25.45401841669809,,,,,,,,,,25.43759295833297,25.45401841669809,25.954026541672647,25.937412249972112,25.937412249972112,26.23731062503066,26.437519583385438,left,-3.5,0,0,0.4971058750525117,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
18,0.5,4.0,26.45328287500888,,,,,,,,,,26.437541875056922,26.45328287500888,26.95385808334686,26.937233291682787,26.937233291682787,27.237177624949254,27.354052374954335,left,-4.0,1,1,0.41026016674004495,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
19,0.5,4.0,27.370509208296426,,,,,,,,,,27.354078458389267,27.370509208296426,27.870536333299242,27.853840416646563,27.853840416646563,28.153954041656107,28.370318625005893,right,4.0,1,1,0.5106299166800454,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
20,0.5,4.0,28.38668650004547,,,,,,,,,,28.370339708286338,28.38668650004547,28.887361124972813,28.87057870835997,28.87057870835997,29.170706208329648,29.65424666670151,right,4.0,1,1,0.7819702916312963,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
21,0.5,3.5,29.669979833299294,,,,,,,,,,29.654279749956913,29.669979833299294,30.170557666686364,30.153942291624844,30.153942291624844,30.45389562495984,30.737424833350815,right,3.5,1,1,0.5805825416464359,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
22,0.5,3.5,30.753187458380125,,,,,,,,,,30.737448874977417,30.753187458380125,31.253187375026755,31.23633004166186,31.23633004166186,31.53727049997542,31.870762833277695,left,-3.5,1,1,0.6210647915722802,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
23,0.5,3.5,31.887233416666277,,,,,,,,,,31.870805041631684,31.887233416666277,32.38720620831009,32.37061066669412,32.37061066669412,32.67073187499773,33.13744600000791,right,3.5,1,1,0.7547457499895245,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
24,0.5,3.0,33.153831541654654,,,,,,,,,,33.13747770828195,33.153831541654654,33.653959374991246,33.637205875013024,33.637205875013024,33.93730999995023,34.220743666635826,right,3.0,1,1,0.5791373749962077,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
25,0.5,3.0,34.237166375038214,,,,,,,,,,34.22076916671358,34.237166375038214,34.73718675004784,34.720562208327465,34.720562208327465,35.020463791675866,35.67086616670713,left,-3.0,0,0,0.9457447082968429,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
26,0.5,3.5,35.687190083321184,,,,,,,,,,35.670912583358586,35.687190083321184,36.18733395833988,36.17055179167073,36.17055179167073,36.47065333335195,36.72078012500424,right,3.5,1,1,0.5347382084000856,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
27,0.5,3.5,36.73735299997497,,,,,,,,,,36.72080883337185,36.73735299997497,37.237228250014596,37.22050283337012,37.22050283337012,37.520614833338186,37.83742258336861,left,-3.5,1,1,0.6137749999761581,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
28,0.5,3.5,37.853882499970496,,,,,,,,,,37.83744687505532,37.853882499970496,38.35389970836695,38.33714612503536,38.33714612503536,38.63721125002485,38.92067383334506,left,-3.5,1,1,0.567068541655317,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
